turn,speaker,sentence,transcript,label_getting_students_to_relate,label_keeping_everyone_together,label_not_a_talk_move,label_press_for_accuracy,label_press_for_reasoning,label_restating,label_revoicing
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,And this is a lesson that Ms Ferrant and I planned And we want to see what you what you know about it,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,So our first activity that were gonna do shes gonna pass out paper,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,And we just want you to think about it,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,You dont have to write anything down,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,And well be doing a lot of thinking privately by ourselves and then sharing with a partner and then sharing out loud,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,I know thats a common thing you guys do in your class,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,But the first thing that we want you to do is Robby is confused,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Hes a student and hes confused about area and perimeter,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,He thinks theyre the same,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,He thinks theres no difference between the two,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,And we want you to help him,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,So right now think what you would say to him if you wanted to tell him the difference between area and perimeter,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Think privately to yourself,7th grade math.xlsx,False,False,True,False,False,False,False
3,T,Okay and when youre ready share with your partner what you would tell Robby,7th grade math.xlsx,False,False,False,True,False,False,False
4,T,Okay did everyone have a chance to talk about it,7th grade math.xlsx,False,True,False,False,False,False,False
4,T,Yeah,7th grade math.xlsx,False,True,False,False,False,False,False
4,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
4,T,Who would like to explain what you would say to Robby if you wanted to tell him the difference between area and perimeter,7th grade math.xlsx,False,False,False,True,False,False,False
4,T,What would you say okay,7th grade math.xlsx,False,False,False,True,False,False,False
4,T,Um is it Connie,7th grade math.xlsx,False,True,False,False,False,False,False
4,T,Angelique,7th grade math.xlsx,False,True,False,False,False,False,False
5,S,Yeah,7th grade math.xlsx,False,False,False,False,False,False,False
6,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
7,S,We talked about the area is length times width and perimeter is length plus width plus length plus width,7th grade math.xlsx,False,False,False,False,False,False,False
8,T,Ah,7th grade math.xlsx,False,False,True,False,False,False,False
8,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
8,T,Youre telling me how to get it so youre saying well what shape are you talking about,7th grade math.xlsx,False,False,False,True,False,False,False
9,S,a triangle,7th grade math.xlsx,False,False,False,False,False,False,False
9,S,I mean  I mean the rectangle,7th grade math.xlsx,False,False,False,False,False,False,False
10,T,The rectangle,7th grade math.xlsx,False,True,False,False,False,False,False
10,T,So youre saying for area itd be length times width and then for perimeter itd be lengths plus widths,7th grade math.xlsx,False,False,True,False,False,False,False
10,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
10,T,Is there anybody else whod like to add to what Angelique said,7th grade math.xlsx,True,False,False,False,False,False,False
10,T,How  bout  is it Alex,7th grade math.xlsx,False,True,False,False,False,False,False
10,T,Alexander,7th grade math.xlsx,False,True,False,False,False,False,False
11,S,Well the area is whats inside and the perimeter is whats outside,7th grade math.xlsx,False,False,False,False,False,False,False
12,T,Okay so the area is whats inside and the perimeter is whats outside,7th grade math.xlsx,False,True,False,False,False,False,False
12,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
12,T,Alex do you want to come up and color in one of those for me,7th grade math.xlsx,False,True,False,False,False,False,False
12,T,I want us to color in on these shapes  red whats area and green what the perimeter is,7th grade math.xlsx,False,False,True,False,False,False,False
12,T,So choose the one that you want to do,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,you can choose whichever shape you want and you can shade it in,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,Now lets move this,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,Oops,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,Now,7th grade math.xlsx,False,False,True,False,False,False,False
13,T,Can you guys see what Alex is doing,7th grade math.xlsx,False,True,False,False,False,False,False
14,S,Yeah,7th grade math.xlsx,False,False,False,False,False,False,False
15,T,Yeah,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,Lets try to fill in all of it so its all along the sides,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,Does anyone want to come up and color in what the perimeter would be,7th grade math.xlsx,False,False,False,True,False,False,False
15,T,In green,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,In green,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,how about is Brandon,7th grade math.xlsx,False,True,False,False,False,False,False
15,T,Are you Brandon,7th grade math.xlsx,False,True,False,False,False,False,False
15,T,No,7th grade math.xlsx,False,False,True,False,False,False,False
15,T,Yamlen,7th grade math.xlsx,False,True,False,False,False,False,False
15,T,Whats your name,7th grade math.xlsx,False,True,False,False,False,False,False
16,S,Joey,7th grade math.xlsx,False,False,False,False,False,False,False
17,T,Joey,7th grade math.xlsx,False,True,False,False,False,False,False
17,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
17,T,So Alex colored in the square and he colored in the area,7th grade math.xlsx,False,False,True,False,False,False,False
17,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
17,T,Thank you,7th grade math.xlsx,False,False,True,False,False,False,False
18,T,Tell your partner really quickly what is it Julian,7th grade math.xlsx,False,True,False,False,False,False,False
18,T,What Julian is doing,7th grade math.xlsx,False,False,False,True,False,False,False
19,S,Hes getting the perimeter of the circle,7th grade math.xlsx,False,False,False,False,False,False,False
20,T,What did Alex do,7th grade math.xlsx,True,False,False,False,False,False,False
21,S,Alex he shaded in the middle of the square  cause its the area,7th grade math.xlsx,False,False,False,False,False,False,False
22,T,And whats area,7th grade math.xlsx,False,False,False,True,False,False,False
22,T,What do you think area is,7th grade math.xlsx,False,False,False,True,False,False,False
23,T,I would like  raise your hand and tell me what Julian did,7th grade math.xlsx,True,False,False,False,False,False,False
23,T,What did he do,7th grade math.xlsx,True,False,False,False,False,False,False
23,T,Um is it Jessica,7th grade math.xlsx,False,True,False,False,False,False,False
23,T,Stacey,7th grade math.xlsx,False,True,False,False,False,False,False
24,S,He outlined the circle with the perimeter,7th grade math.xlsx,False,False,False,False,False,False,False
25,T,He outlined the circle which is the perimeter,7th grade math.xlsx,False,True,False,False,False,False,False
25,T,Okay can anyone come in and color the area,7th grade math.xlsx,False,False,False,True,False,False,False
25,T,Of this,7th grade math.xlsx,False,False,False,True,False,False,False
25,T,Come up and color the area of it,7th grade math.xlsx,False,False,False,True,False,False,False
25,T,How about Shira,7th grade math.xlsx,False,True,False,False,False,False,False
25,T,Shira,7th grade math.xlsx,False,True,False,False,False,False,False
25,T,And Ms Ferrant has the red one and I have the green one,7th grade math.xlsx,False,False,True,False,False,False,False
26,T,Yeah thats good,7th grade math.xlsx,False,False,True,False,False,False,False
26,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
26,T,Do you guys agree with Shira,7th grade math.xlsx,True,False,False,False,False,False,False
26,T,Yeah,7th grade math.xlsx,False,True,False,False,False,False,False
27,S,Yeah,7th grade math.xlsx,False,False,False,False,False,False,False
28,T,Okay good thank you Shira,7th grade math.xlsx,False,False,True,False,False,False,False
28,T,Can someone come up and color in in green the perimeter,7th grade math.xlsx,False,False,False,True,False,False,False
28,T,Of this square that Alex colored in,7th grade math.xlsx,False,False,False,True,False,False,False
28,T,Desiree,7th grade math.xlsx,False,True,False,False,False,False,False
28,T,Yes,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,Okay thank you Desiree,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,So she colored the green around it,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,And thats the perimeter,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,And our very last shape the rectangle,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
29,T,Is there somebody that wants to come up and color the area of the rectangle,7th grade math.xlsx,False,False,False,True,False,False,False
29,T,Erica,7th grade math.xlsx,False,True,False,False,False,False,False
29,T,and then maybe while shes doing that in green does someone want to come up and color alongside of her the perimeter in green,7th grade math.xlsx,False,False,False,True,False,False,False
29,T,Brandon,7th grade math.xlsx,False,True,False,False,False,False,False
29,T,Yeah,7th grade math.xlsx,False,False,True,False,False,False,False
30,T,And I know it takes a while to color so you can just kind of shade it in really quickly,7th grade math.xlsx,False,False,True,False,False,False,False
30,T,Youre welcome,7th grade math.xlsx,False,False,True,False,False,False,False
30,T,So looking at what you guys just did it seems like you know a lot about area and perimeter,7th grade math.xlsx,False,False,True,False,False,False,False
30,T,Areas on the inside and perimeter is the distance  or area is the space on the inside and perimeters the distance around it,7th grade math.xlsx,False,False,True,False,False,False,False
30,T,Okay,7th grade math.xlsx,False,False,True,False,False,False,False
1,T,Good morning,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
1,T,Are you all as awake as I am,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
2,S,Yeah,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
3,T,I dont know if that is good or bad Meredith,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
3,T,Let me shut this  off,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
3,T,I was thinking when I was looking at Marks model and I  noticed many of you made models also for projects for another  class,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
3,T,I was thinking about this model because we were talking about  models the other day werent we,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
3,T,Remember that,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
3,T,But also we were  talking about models in general,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
3,T,We asked ourselves some questions  about models,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
3,T,Did you all build the same model,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
4,S,No,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
5,T,To answer that question,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
6,S,No no,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
7,T,Some of you built different models,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
7,T,Erik,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
8,S,Some of us built the same models and some of us built different,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
9,T,Some of you built different models and I asked you a question about  that,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
9,T,Do you remember,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
10,S,Oh,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
11,T,Erik,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
12,S,Could you get different answers,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
13,S,Using barred models,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
14,S,if you use different models,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
15,T,Yeah can you get different answers right Michael and Erik,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
15,T,if you  use different models,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
15,T,What did you think,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
15,T,How many of you thought  you shouldn t get different answers,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
15,T,How  many of you are not sure,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
15,T,Its okay not  to be sure,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
15,T,Have you been thinking about that at all since then,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
15,T,Maybe not huh Michael have you been thinking about that a little  bit,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
16,S,Um well I figured that it couldnt be because our answer that we  got me and Brian was that it was bigger by one fourth because it  will always take two it will always take four quarters to equal up,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
17,S,Yeah because four is an even number and you can divide it by two,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
18,S,In half,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
19,S,So there will always be one fourth and two fourths three fourths  four fourths and two fourths is always going to be a half halfway  point,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
20,T,What do you think about that,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
20,T,There are a lot of good ideas in what  you are saying,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,I was thinking that  maybe it would help you it sort of helped me to look at Marks  model,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,Sometimes it helps to look at a model thats a little different,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,Maybe this is a model that doesnt use the Cuisenaire rods but in a  sense its a model,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,Um I found out a little bit from Mark about a  book he read he was telling me,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,This was  supposed to be a sea monster and this was supposed to be two friends,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,And I looked at I looked at  what he built here to represent some of the  story and I thought by looking at this model that I couldnt really tell  of the boy and the girl who was taller by looking at them I wasnt  really sure and I didnt know really if Mark cared about that,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
20,T,But I  looked at the sea monster okay and I looked at the boat okay and I  was thinking about their sizes a little bit right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
20,T,What are you why  are you smiling about Mark,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
21,S,Uh well I wasnt thinking about the sizes,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
21,S,I made the sea monster  bigger than the boat,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
22,T,Did you want the sea monster to be bigger than the boat,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
23,S,No,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
24,T,You really didnt,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,True
24,T,What about the boat and the children,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
25,S,Those too,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
25,S,The children are bigger,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
26,T,The children are bigger than the boat,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,True
26,T,Did you want that,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
26,T,No,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
27,S,Maybe he was trying to focus on the children and instead of just the  boat,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
28,S,Yeah he was probably trying maybe to make them look bigger like  youre looking at the children not the boat,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
29,T,I I,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
30,S,like he doesnt he just put the boat in,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
31,T,Yeah,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
32,S,Cause theyre at the dock,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
32,S,Yeah but he wasnt just focusing on the  boat,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
33,T,Maybe the boat wasn t intended to be so close but that he could  make it you know the dock not as far out as those things,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,Or maybe  he didnt think about it all those things,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,That wasn t what he was  focusing on but I think suppose changed this suppose we took this  story and made it a math problem,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,Suppose we changed it for a  different purpose,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,And I said to all of you I want you to go and  make me a model of two children right and theyre sitting at a dock  and theyre fishing and they just caught a fish right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
33,T,Lets not make  it a sea monster and lets change it a little bit theyre fishing and then  their boat is docked somewhere do you understand,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
33,T,If I asked you  to do that and it mattered now what sizes they were,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,What would you  expect to be the largest object and the next and the next,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
33,T,What  would you expect if you were really worrying about the size you  had two children at a dock and you have a boat and you have a fish  now we re not going to go with sea monsters,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
33,T,Mark,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
34,S,Uh the boats the biggest,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
35,T,The boats the biggest,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,True,False
35,T,Do you agree,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
36,S,Mm hmm,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
37,T,You think the boats the biggest,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
37,T,okay,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
38,S,And then the children um and then the fish,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
39,T,Would be the smallest,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
39,T,You all agree with that,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
40,S,Um hmm,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
40,T,You agree with that that there are certain things that all  of you would have in your model,Boats and Fish 1_Grade 4.xlsx,True,False,False,False,False,False,False
40,T,You have these four principal  players right or things,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
40,T,The boat two children and you have the fish,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
40,T,And howwhat size will you make them will that necessarily be the  same,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
40,T,Meredith,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
41,S,Well maybe not because everybody cant have the same because  they dont have theyre not like copying each other,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
42,T,Yeah,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
42,T,You make your children,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
42,T,some of you might use little dolls or  something right or bigger dolls or,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
43,S,You re not measuring the same,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
44,T,You wouldnt measure them the same,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,True
44,T,But one thing that would be  the same is the relative one thing you have to be careful each of you  in your own models would be the sizes in relation to the other sizes  right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
44,T,And if somebody came in now with a fish bigger than the boy   that would have missed the point right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
45,S,No because a fish could be bigger than a boy,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
46,T,Thats true ok thats true,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,But we really mean two children fishing at  a little dock not out in the ocean somewhere where we expect the  fish to be smaller but youre right youre absolutely right Michael it  could be,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,But we d have to agree on some things on some  constraints here,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,Obviously if we changed it that we were maybe  deep sea fishing right and we could be catching some whales or  whatever,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,Or even some very very big fish,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,Okay that would  change,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
46,T,Now what does that have to do with the models you made  and some of the comments that Michael and Erik made about the  models you made,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
46,T,What does that have to say about it,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
46,T,Would you  expect one model to come up with something different than the  other,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
46,T,Would it look different,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
47,S,Yes,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
48,T,Maybe,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
48,T,Would the relationships that youre suppose to show change,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
49,S,No,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
50,T,No,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,True,False
50,T,And thats the important thing to remember,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,That your model  that you make should not be changing right your argument,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,But  suppose Mark had his model and suppose Danielle made a model  ok,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
50,T,And Danielle decided to make a very little model okay a little  tiny model,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
50,T,She doesnt like to carry big things to school,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,And lets  suppose that Audra made a big model right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
50,T,She got some help,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,Could I take the fish in Danielles model and swap it for the fish the  little fish in Danielle s model or lets take Audras big fish can I put  it in Danielles little box,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,No,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
50,T,Well it depends on how big the fish is,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
51,T,Danielles little box is really a little box so its um you know  about this size  and Audras is like that and so Audras fish is maybe about this big and  Danielles fish is about this big,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
51,T,Would it be okay to put Audras fish  in Danielles box,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
51,T,No,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
52,S,It would look like a shrimp,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
53,T,It would look like a shrimp,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,True,False
53,T,Why wouldnt it be okay,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,True,False,False
53,T,What would  probably happen if you did that,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
53,T,Graham,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
54,S,Well it wouldnt fit,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
55,T,It wouldnt fit in it,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,True
55,T,Thats exactly right it probably wouldnt even fit  in,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
55,T,Maybe it would but it might not right,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
55,T,And what would happen  Meredith,Boats and Fish 1_Grade 4.xlsx,False,False,False,True,False,False,False
56,S,Well you could put the Audras fish and you could put Danielles fish  into Audras box because it s small and it could fit in,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
57,T,It could be a shrimp,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
58,S,but you cant put Audras fish into Danielles box because its too small,Boats and Fish 1_Grade 4.xlsx,False,False,False,False,False,False,False
59,T,Ok it raises some interesting questions doesnt it,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
59,T,Were sort of you  know making up some hypothetical things and imagining some  things,Boats and Fish 1_Grade 4.xlsx,False,False,True,False,False,False,False
59,T,But do you get the idea,Boats and Fish 1_Grade 4.xlsx,False,True,False,False,False,False,False
